Station,date,wind,rainfall,humidity_day,humidity_night,temp_max,temp_min,actual,month,year,rain_hum,cases_lag_1,rain_lag_1,cases_lag_2,rain_lag_2,cases_lag_3,rain_lag_3,cases_roll_3,predicted_cases,type,error
COLOMBO,2018-03-01,4.45,2.219355,72.29032,86.16129,31.58387,25.19677,471.0,3.0,2018.0,160.4378831436,658.0,3.885714,695.0,17.40968,1561.0,1.474194,971.3333333333334,476.412398087612,History,-5.412398087612019
COLOMBO,2018-04-01,4.55,8.833333,73.2,89.76667,32.12,25.02,505.0,4.0,2018.0,646.5999756,471.0,2.219355,658.0,3.885714,695.0,17.40968,608.0,515.2745456623082,History,-10.274545662308242
COLOMBO,2018-05-01,4.95,13.60323,79.29032,90.09677,30.85161,25.63548,1219.0,5.0,2018.0,1078.6044597336,505.0,8.833333,471.0,2.219355,658.0,3.885714,544.6666666666666,1223.1992942804684,History,-4.1992942804683935
COLOMBO,2018-06-01,7.4,5.193333,78.93333,85.66667,30.51,26.24333,1836.0,6.0,2018.0,409.92706748889,1219.0,13.60323,505.0,8.833333,471.0,2.219355,731.6666666666666,1826.3498069077095,History,9.650193092290465
COLOMBO,2018-07-01,6.8,2.222581,76.70968,85.19355,30.05806,26.47097,2267.0,7.0,2018.0,170.49347728408,1836.0,5.193333,1219.0,13.60323,505.0,8.833333,1186.6666666666667,2223.1692964286517,History,43.830703571348295
COLOMBO,2018-08-01,6.1,2.06129,77.58065,86.48387,29.77742,25.76774,1078.0,8.0,2018.0,159.9162180385,2267.0,2.222581,1836.0,5.193333,1219.0,13.60323,1774.0,1092.0874102739394,History,-14.08741027393944
COLOMBO,2018-09-01,4.75,8.79,72.86667,85.56667,30.87333,25.63,549.0,9.0,2018.0,640.4980293,1078.0,2.06129,2267.0,2.222581,1836.0,5.193333,1727.0,564.1667761132909,History,-15.166776113290894
COLOMBO,2018-11-01,4.4,14.02333,76.13333,91.46667,30.63667,24.12667,1363.0,11.0,2018.0,1067.6428105889,549.0,8.79,1078.0,2.06129,2267.0,2.222581,1298.0,1383.6925707037444,History,-20.692570703744423
COLOMBO,2018-12-01,5.65,4.5,70.12903,86.64516,31.24194,23.82581,2217.0,12.0,2018.0,315.58063500000003,1363.0,14.02333,549.0,8.79,1078.0,2.06129,996.6666666666666,2187.14815372462,History,29.851846275380012
COLOMBO,2019-01-01,7.35,0.496774,64.93548,80.54839,31.75161,23.53548,1662.0,1.0,2019.0,32.258258141519995,2217.0,4.5,1363.0,14.02333,549.0,8.79,1376.3333333333333,1641.2961229185094,History,20.703877081490646
COLOMBO,2019-01-01,2.5,11.44839,78.96774,92.90323,30.13548,23.80968,4365.0,1.0,2019.0,904.0534849386,1662.0,0.496774,2217.0,4.5,1363.0,14.02333,1747.3333333333333,4263.164425323169,History,101.83557467683113
COLOMBO,2019-02-01,5.35,5.607143,70.64286,85.60714,31.95,24.80714,942.0,2.0,2019.0,396.10461794898,4365.0,11.44839,1662.0,0.496774,2217.0,4.5,2748.0,948.0277992015135,History,-6.027799201513517
COLOMBO,2019-03-01,4.3,1.335484,68.03226,84.77419,32.23871,25.43226,1039.0,3.0,2019.0,90.85599471383999,942.0,5.607143,4365.0,11.44839,1662.0,0.496774,2323.0,1030.465294627736,History,8.534705372263943
COLOMBO,2019-04-01,3.8,6.46,70.4,86.23333,32.76,25.81333,916.0,4.0,2019.0,454.78400000000005,1039.0,1.335484,942.0,5.607143,4365.0,11.44839,2115.3333333333335,900.9235042576482,History,15.076495742351767
COLOMBO,2019-05-01,5.55,4.093548,74.77419,84.22581,32.00645,26.65484,1027.0,5.0,2019.0,306.09173592612,916.0,6.46,1039.0,1.335484,942.0,5.607143,965.6666666666666,1101.2259941409902,History,-74.22599414099022
COLOMBO,2019-06-01,5.3,8.573333,78.3,85.93333,31.43333,26.24333,1735.0,6.0,2019.0,671.2919739,1027.0,4.093548,916.0,6.46,1039.0,1.335484,994.0,1707.2205471019627,History,27.779452898037334
COLOMBO,2019-07-01,5.65,4.390323,75.12903,83.58065,31.10323,26.21935,2894.0,7.0,2019.0,329.84070837669003,1735.0,8.573333,1027.0,4.093548,916.0,6.46,1226.0,2706.3650436308008,History,187.63495636919924
COLOMBO,2019-08-01,5.8,9.303226,79.48387,87.06452,30.2871,25.39355,2091.0,8.0,2019.0,739.45640596462,2894.0,4.390323,1735.0,8.573333,1027.0,4.093548,1885.3333333333333,2100.2982504360466,History,-9.298250436046601
COLOMBO,2019-09-01,4.55,20.32667,80.1,89.83333,30.01667,24.82,2447.0,9.0,2019.0,1628.1662669999998,2091.0,9.303226,2894.0,4.390323,1735.0,8.573333,2240.0,2452.5838927628424,History,-5.583892762842424
COLOMBO,2019-11-01,3.1,14.45333,75.96667,92.56667,31.18333,24.01333,5391.0,11.0,2019.0,1097.9713505111,2447.0,20.32667,2091.0,9.303226,2894.0,4.390323,2477.3333333333335,5254.7871507663385,History,136.21284923366147
COLOMBO,2019-12-01,3.8,8.074194,73.58065,88.09677,31.26774,23.98387,4430.0,12.0,2019.0,594.1044427461001,5391.0,14.45333,2447.0,20.32667,2091.0,9.303226,3309.6666666666665,4440.82787886497,History,-10.827878864970444
COLOMBO,2023-01-01,7.45,3.706452,68.58065,83.12903,31.04516,23.1871,1842.0,1.0,2023.0,254.19088735380004,4430.0,8.074194,5391.0,14.45333,2447.0,20.32667,4089.3333333333335,1850.8043939149138,History,-8.804393914913817
COLOMBO,2023-01-01,1.6,20.53548,80.96774,93.09677,30.27419,24.56774,924.0,1.0,2023.0,1662.7114054152,1842.0,3.706452,4430.0,8.074194,5391.0,14.45333,3887.6666666666665,925.4840308397296,History,-1.4840308397295985
COLOMBO,2023-02-01,6.5,2.832143,71.17857,83.92857,31.02724,24.11786,1577.0,2.0,2023.0,201.58788877550998,924.0,20.53548,1842.0,3.706452,4430.0,8.074194,2398.6666666666665,1569.550758927684,History,7.449241072315999
COLOMBO,2023-03-01,4.2,6.709677,73.22581,87.70968,31.97742,24.57742,1288.0,3.0,2023.0,491.32153316336996,1577.0,2.832143,924.0,20.53548,1842.0,3.706452,1447.6666666666667,1295.4523606786906,History,-7.4523606786906385
COLOMBO,2023-04-01,2.45,8.723333,72.9,88.73333,32.33,25.31,1492.0,4.0,2023.0,635.9309757000001,1288.0,6.709677,1577.0,2.832143,924.0,20.53548,1263.0,1468.4100862540904,History,23.589913745909598
COLOMBO,2023-05-01,4.8,10.3871,77.93548,87.54839,31.67742,26.29355,2120.0,5.0,2023.0,809.523624308,1492.0,8.723333,1288.0,6.709677,1577.0,2.832143,1452.3333333333333,1973.6148440646764,History,146.3851559353236
COLOMBO,2023-06-01,5.95,3.48,78.7,85.43333,31.27667,26.75,2290.0,6.0,2023.0,273.87600000000003,2120.0,10.3871,1492.0,8.723333,1288.0,6.709677,1633.3333333333333,2256.8400508045174,History,33.15994919548257
COLOMBO,2023-07-01,4.9,3.303226,78.09677,85.45161,30.67097,26.72903,1601.0,7.0,2023.0,257.97128118002,2290.0,3.48,2120.0,10.3871,1492.0,8.723333,1967.3333333333333,1593.9181216631728,History,7.081878336827231
COLOMBO,2023-08-01,5.25,2.654839,73.93548,82.80645,31.55806,27.03548,955.0,8.0,2023.0,196.28679578772,1601.0,3.303226,2290.0,3.48,2120.0,10.3871,2003.6666666666667,973.8852544726764,History,-18.885254472676365
COLOMBO,2023-09-01,3.85,24.07333,82.0,90.6,30.21,24.86,386.0,9.0,2023.0,1974.0130599999998,955.0,2.654839,1601.0,3.303226,2290.0,3.48,1615.3333333333333,398.5148178150822,History,-12.51481781508221
COLOMBO,2023-11-01,1.4,14.05667,77.53333,93.6,31.25,24.6,1718.0,11.0,2023.0,1089.8604338111002,386.0,24.07333,955.0,2.654839,1601.0,3.303226,980.6666666666666,1762.1921348580572,History,-44.192134858057216
COLOMBO,2023-12-01,3.7,10.8871,76.67742,91.22581,31.75161,24.72258,2718.0,12.0,2023.0,834.794739282,1718.0,14.05667,386.0,24.07333,955.0,2.654839,1019.6666666666666,2733.705837481255,History,-15.705837481255003
COLOMBO,2024-01-01,3.1,23.04839,77.1183196262627,87.6597970101011,30.55161,25.25161,1538.0,1.0,2024.0,1777.4531068907572,2718.0,10.8871,1718.0,14.05667,386.0,24.07333,1607.3333333333333,1558.9295893754559,History,-20.929589375455862
COLOMBO,2024-01-01,5.0,6.164516,69.29032,85.80645,31.87742,24.44194,4721.0,1.0,2024.0,427.14128628512,1538.0,23.04839,2718.0,10.8871,1718.0,14.05667,1991.3333333333333,4596.0157664445915,History,124.98423355540854
COLOMBO,2024-02-01,4.95,0.255172,67.0,81.44828,33.48276,25.2931,2546.0,2.0,2024.0,17.096524000000002,4721.0,6.164516,1538.0,23.04839,2718.0,10.8871,2992.3333333333335,2514.02760954663,History,31.972390453369826
COLOMBO,2024-03-01,3.35,2.051613,68.25806,83.06452,33.16774,26.25484,1484.0,3.0,2024.0,140.03912325078002,2546.0,0.255172,4721.0,6.164516,1538.0,23.04839,2935.0,1485.7390346996995,History,-1.7390346996994595
COLOMBO,2024-04-01,1.75,12.1,72.56667,89.36667,33.36,26.4,921.0,4.0,2024.0,878.056707,1484.0,2.051613,2546.0,0.255172,4721.0,6.164516,2917.0,944.7915807013972,History,-23.79158070139715
COLOMBO,2024-05-01,4.1,17.22258,79.54839,88.12903,31.86774,26.35,1214.0,5.0,2024.0,1370.0285106462,921.0,12.1,1484.0,2.051613,2546.0,0.255172,1650.3333333333333,1217.4791500443125,History,-3.4791500443125187
COLOMBO,2024-06-01,4.95,11.78,80.33333,88.36667,31.19,26.4301066666667,2070.0,6.0,2024.0,946.3266274,1214.0,17.22258,921.0,12.1,1484.0,2.051613,1206.3333333333333,2087.5272192162897,History,-17.527219216289723
COLOMBO,2024-07-01,3.85,8.967742,80.45161,87.87097,31.13548,26.2871,2800.0,7.0,2024.0,721.46928196462,2070.0,11.78,1214.0,17.22258,921.0,12.1,1401.6666666666667,2750.37213589959,History,49.62786410041008
COLOMBO,2024-08-01,5.05,11.0,81.03226,85.45161,31.0129,26.45484,2395.0,8.0,2024.0,891.3548599999999,2800.0,8.967742,2070.0,11.78,1214.0,17.22258,2028.0,2410.194244942885,History,-15.19424494288478
COLOMBO,2024-09-01,4.6,7.2,76.26667,83.9,31.39,26.72667,1725.0,9.0,2024.0,549.1200240000001,2395.0,11.0,2800.0,8.967742,2070.0,11.78,2421.6666666666665,1764.2986745770365,History,-39.298674577036536
COLOMBO,2024-11-01,3.0,10.07,77.2204924022837,87.6933881747915,30.92333,24.55667,1693.0,11.0,2024.0,777.6103584909969,1725.0,7.2,2395.0,11.0,2800.0,8.967742,2306.6666666666665,1687.1643421811898,History,5.835657818810205
COLOMBO,2024-12-01,3.8,2.525806,77.3226651783048,87.7269793394819,31.57742,24.8,2072.0,12.0,2024.0,195.30205164335337,1693.0,10.07,1725.0,7.2,2395.0,11.0,1937.6666666666667,2048.8213759847645,History,23.178624015235528
COLOMBO,2025-01-01,5.95,2.303226,77.4248379543259,87.7605705041723,30.77097,24.32258,1270.0,1.0,2025.0,178.3268998221902,2072.0,2.525806,1693.0,10.07,1725.0,7.2,1830.0,1275.8600325840566,History,-5.860032584056626
COLOMBO,2025-02-01,5.8,0.664286,77.527010730347,87.7941616688626,32.85714,24.6,991.0,2.0,2025.0,51.50010785001929,1270.0,2.303226,2072.0,2.525806,1693.0,10.07,1678.3333333333333,1020.3351576046349,History,-29.3351576046349
COLOMBO,2025-03-01,4.25,8.219355,77.6291835063681,87.827752833553,32.07419,25.07097,1183.0,3.0,2025.0,638.0618175989841,991.0,0.664286,1270.0,2.303226,2072.0,2.525806,1444.3333333333333,1154.0775618102562,History,28.922438189743843
COLOMBO,2025-04-01,4.3,9.793333,77.7313562823891,87.8613439982434,32.3,25.83,1265.0,4.0,2025.0,761.2490566150785,1183.0,8.219355,991.0,0.664286,1270.0,2.303226,1148.0,1265.7894702304857,History,-0.7894702304856764
COLOMBO,2025-05-01,5.8,8.835484,77.8335290584102,87.8949351629338,31.9,26.3129,1580.0,5.0,2025.0,687.6969006591183,1265.0,9.793333,1183.0,8.219355,991.0,0.664286,1146.3333333333333,1591.0104569517603,History,-11.010456951760261
COLOMBO,2025-06-01,5.9,6.113333,77.9357018344313,87.9285263276242,31.47,26.81,1230.0,6.0,2025.0,476.4468979025894,1580.0,8.835484,1265.0,9.793333,1183.0,8.219355,1342.6666666666667,1282.9922302456987,History,-52.99223024569869
,2025-07-01,,,,,,,,,,,,,,,,,,1172.0,Forecast,
,2025-08-01,,,,,,,,,,,,,,,,,,542.0,Forecast,
,2025-09-01,,,,,,,,,,,,,,,,,,292.0,Forecast,
,2025-10-01,,,,,,,,,,,,,,,,,,1063.5814855698218,Forecast,
,2025-11-01,,,,,,,,,,,,,,,,,,1541.7502936789447,Forecast,
,2025-12-01,,,,,,,,,,,,,,,,,,2123.2000050703004,Forecast,
,2026-01-01,,,,,,,,,,,,,,,,,,1647.3639010984743,Forecast,
,2026-02-01,,,,,,,,,,,,,,,,,,1683.5846502609845,Forecast,
,2026-03-01,,,,,,,,,,,,,,,,,,1218.3736462573715,Forecast,
,2026-04-01,,,,,,,,,,,,,,,,,,1150.3554139416276,Forecast,
,2026-05-01,,,,,,,,,,,,,,,,,,1531.9399139175134,Forecast,
,2026-06-01,,,,,,,,,,,,,,,,,,1728.4176203031225,Forecast,
,2026-07-01,,,,,,,,,,,,,,,,,,1686.0201160759132,Forecast,
,2026-08-01,,,,,,,,,,,,,,,,,,1558.2309321250277,Forecast,
,2026-09-01,,,,,,,,,,,,,,,,,,1568.9334858196555,Forecast,
,2026-10-01,,,,,,,,,,,,,,,,,,2533.3150477338595,Forecast,
,2026-11-01,,,,,,,,,,,,,,,,,,1913.0250335013814,Forecast,
,2026-12-01,,,,,,,,,,,,,,,,,,2257.669618339034,Forecast,
,2027-01-01,,,,,,,,,,,,,,,,,,1612.265782544424,Forecast,
,2027-02-01,,,,,,,,,,,,,,,,,,1664.9619719672542,Forecast,
,2027-03-01,,,,,,,,,,,,,,,,,,1222.5544144899245,Forecast,
,2027-04-01,,,,,,,,,,,,,,,,,,1155.9091021974195,Forecast,
,2027-05-01,,,,,,,,,,,,,,,,,,1533.161039254891,Forecast,
,2027-06-01,,,,,,,,,,,,,,,,,,1720.4308647218961,Forecast,
