date,predicted_cases,actual
2018-03-01,190.99852587264178,191.0
2018-04-01,155.0107112314002,155.0
2018-05-01,446.9549483325326,447.0
2018-06-01,415.01404117641084,415.0
2018-07-01,568.9889097456169,569.0
2018-08-01,402.0206839377166,402.0
2018-09-01,316.03936510045037,316.0
2018-11-01,405.0307384918279,405.0
2018-12-01,468.9790956089919,469.0
2019-01-01,418.043712921158,418.0
2019-01-01,2119.773170460255,2120.0
2019-02-01,235.02620700510212,235.0
2019-03-01,315.99481918247386,316.0
2019-04-01,283.97962479042275,284.0
2019-05-01,325.0109211626801,325.0
2019-06-01,387.03713204590014,387.0
2019-07-01,778.9091984168235,779.0
2019-08-01,673.957842666063,674.0
2019-09-01,1134.0206992534827,1134.0
2019-11-01,2291.763071080473,2292.0
2019-12-01,1424.9587935437198,1425.0
2023-01-01,362.02719718939153,362.0
2023-01-01,678.0413258000509,678.0
2023-02-01,261.0123454461631,261.0
2023-03-01,286.9908085586399,287.0
2023-04-01,403.03644468902894,403.0
2023-05-01,789.9778545318347,790.0
2023-06-01,994.8585736355925,995.0
2023-07-01,1027.040699296196,1027.0
2023-08-01,950.9100225776369,951.0
2023-09-01,532.015021795112,532.0
2023-11-01,1354.9216926207012,1355.0
2023-12-01,1650.0394856742892,1650.0
2024-01-01,544.9946510272507,545.0
2024-01-01,1564.808593019641,1565.0
2024-02-01,655.9420467632251,656.0
2024-03-01,419.0480057186303,419.0
2024-04-01,529.9811822302545,530.0
2024-05-01,633.0478152546526,633.0
2024-06-01,665.992137171097,666.0
2024-07-01,983.9295725676709,984.0
2024-08-01,795.1213387718547,795.0
2024-09-01,534.0465562287877,534.0
2024-11-01,570.0161401203699,570.0
2024-12-01,509.9545904824023,510.0
2025-01-01,304.0304855778486,304.0
2025-02-01,256.98174191904815,257.0
2025-03-01,232.9748039766488,233.0
2025-04-01,258.0122594363885,258.0
2025-05-01,448.9910536163849,449.0
2025-06-01,650.0166361523629,650.0
2025-07-01,716.5177845861217,
2025-08-01,671.957588187755,
2025-09-01,784.6782769731487,
2025-10-01,645.3574499580121,
2025-11-01,1324.2698525267438,
2025-12-01,765.891250492321,
2026-01-01,673.5911823829143,
2026-02-01,359.98964838470704,
2026-03-01,381.2360037313833,
2026-04-01,498.36355576092853,
2026-05-01,556.658230246364,
2026-06-01,649.380434060173,
2026-07-01,830.4078631164489,
2026-08-01,682.3210595659706,
2026-09-01,779.3162305866811,
2026-10-01,644.4235094382938,
2026-11-01,1323.2342898646457,
2026-12-01,765.891250492321,
2027-01-01,673.5911823829143,
2027-02-01,359.98964838470704,
2027-03-01,381.2360037313833,
2027-04-01,498.36355576092853,
2027-05-01,556.658230246364,
2027-06-01,649.380434060173,
